Address ID,Full Address,City,Province/Area,Postal Code,Average Monthly Income (PHP),Income Category
1,"685 Sarah Brook St., Cebu City, Visayas, 6000, Philippines",Cebu City,Visayas,6000,40000,Middle
2,"578 Griffith Wells St., Quezon City, Metro Manila, 1100, Philippines",Quezon City,Metro Manila,1100,50000,Middle
3,"724 Amanda Flat St., Manila, Metro Manila, 1000, Philippines",Manila,Metro Manila,1000,70000,High
4,"390 Martha Inlet St., Cebu City, Visayas, 6000, Philippines",Cebu City,Visayas,6000,40000,Middle
5,"795 Baker Pines St., Pasig, Metro Manila, 1600, Philippines",Pasig,Metro Manila,1600,60000,High
6,"803 Christina Dale St., Baguio, Luzon, 2600, Philippines",Baguio,Luzon,2600,30000,Low
7,"755 Michael Lights St., Cebu City, Visayas, 6000, Philippines",Cebu City,Visayas,6000,40000,Middle
8,"820 Yu Trail St., Quezon City, Metro Manila, 1100, Philippines",Quezon City,Metro Manila,1100,50000,Middle
9,"139 Stone Circle St., Quezon City, Metro Manila, 1100, Philippines",Quezon City,Metro Manila,1100,50000,Middle
10,"16 Reed Path St., Iloilo City, Visayas, 5000, Philippines",Iloilo City,Visayas,5000,32000,Low
11,"351 Johnson Passage St., Cebu City, Visayas, 6000, Philippines",Cebu City,Visayas,6000,40000,Middle
12,"64 Anthony Rapids St., Quezon City, Metro Manila, 1100, Philippines",Quezon City,Metro Manila,1100,50000,Middle
13,"568 Jennifer Parkway St., Taguig, Metro Manila, 1630, Philippines",Taguig,Metro Manila,1630,75000,High
14,"781 Krystal Oval St., Pasig, Metro Manila, 1600, Philippines",Pasig,Metro Manila,1600,60000,High
15,"620 Jones Key St., Pasig, Metro Manila, 1600, Philippines",Pasig,Metro Manila,1600,60000,High
16,"895 Conway Estates St., Pasig, Metro Manila, 1600, Philippines",Pasig,Metro Manila,1600,60000,High
17,"626 Phillips Hollow St., Davao City, Mindanao, 8000, Philippines",Davao City,Mindanao,8000,35000,Middle
18,"587 Jonathan Causeway St., Taguig, Metro Manila, 1630, Philippines",Taguig,Metro Manila,1630,75000,High
19,"567 Snow Brook St., Cagayan de Oro, Mindanao, 9000, Philippines",Cagayan de Oro,Mindanao,9000,36000,Middle
20,"431 Scott Overpass St., Pasig, Metro Manila, 1600, Philippines",Pasig,Metro Manila,1600,60000,High
21,"742 David Meadows St., Taguig, Metro Manila, 1630, Philippines",Taguig,Metro Manila,1630,75000,High
22,"180 Miller Station St., Taguig, Metro Manila, 1630, Philippines",Taguig,Metro Manila,1630,75000,High
23,"470 Adams Curve St., Baguio, Luzon, 2600, Philippines",Baguio,Luzon,2600,30000,Low
24,"331 Walker Track St., Makati, Metro Manila, 1226, Philippines",Makati,Metro Manila,1226,80000,High
25,"355 Hicks Point St., Taguig, Metro Manila, 1630, Philippines",Taguig,Metro Manila,1630,75000,High
26,"373 Taylor Rapid St., Cebu City, Visayas, 6000, Philippines",Cebu City,Visayas,6000,40000,Middle
27,"13 Tara Union St., Cagayan de Oro, Mindanao, 9000, Philippines",Cagayan de Oro,Mindanao,9000,36000,Middle
28,"189 Robert Passage St., Cagayan de Oro, Mindanao, 9000, Philippines",Cagayan de Oro,Mindanao,9000,36000,Middle
29,"540 Bond Glens St., Cagayan de Oro, Mindanao, 9000, Philippines",Cagayan de Oro,Mindanao,9000,36000,Middle
30,"878 Tanya Common St., Manila, Metro Manila, 1000, Philippines",Manila,Metro Manila,1000,70000,High
31,"504 Michael Circles St., Davao City, Mindanao, 8000, Philippines",Davao City,Mindanao,8000,35000,Middle
32,"891 Burns Street St., Baguio, Luzon, 2600, Philippines",Baguio,Luzon,2600,30000,Low
33,"938 Daniel Estate St., Taguig, Metro Manila, 1630, Philippines",Taguig,Metro Manila,1630,75000,High
34,"873 Jacobs Cliff St., Cebu City, Visayas, 6000, Philippines",Cebu City,Visayas,6000,40000,Middle
35,"803 Cohen Corner St., Cebu City, Visayas, 6000, Philippines",Cebu City,Visayas,6000,40000,Middle
36,"507 Jenny Mountain St., Baguio, Luzon, 2600, Philippines",Baguio,Luzon,2600,30000,Low
37,"540 Lopez Crescent St., Iloilo City, Visayas, 5000, Philippines",Iloilo City,Visayas,5000,32000,Low
38,"837 Lamb Meadow St., Baguio, Luzon, 2600, Philippines",Baguio,Luzon,2600,30000,Low
39,"606 Cook Crossroad St., Cebu City, Visayas, 6000, Philippines",Cebu City,Visayas,6000,40000,Middle
40,"567 Wiley Key St., Baguio, Luzon, 2600, Philippines",Baguio,Luzon,2600,30000,Low
41,"913 Blake Stravenue St., Baguio, Luzon, 2600, Philippines",Baguio,Luzon,2600,30000,Low
42,"81 Olsen Stream St., Pasig, Metro Manila, 1600, Philippines",Pasig,Metro Manila,1600,60000,High
43,"144 Torres Route St., Cebu City, Visayas, 6000, Philippines",Cebu City,Visayas,6000,40000,Middle
44,"113 John Streets St., Pasig, Metro Manila, 1600, Philippines",Pasig,Metro Manila,1600,60000,High
45,"605 Hughes Radial St., Pasig, Metro Manila, 1600, Philippines",Pasig,Metro Manila,1600,60000,High
46,"968 Stephen Roads St., Davao City, Mindanao, 8000, Philippines",Davao City,Mindanao,8000,35000,Middle
47,"551 Vaughn Place St., Makati, Metro Manila, 1226, Philippines",Makati,Metro Manila,1226,80000,High
48,"566 Jonathan Bypass St., Quezon City, Metro Manila, 1100, Philippines",Quezon City,Metro Manila,1100,50000,Middle
49,"627 Donna Neck St., Cebu City, Visayas, 6000, Philippines",Cebu City,Visayas,6000,40000,Middle
50,"535 Edwards Street St., Davao City, Mindanao, 8000, Philippines",Davao City,Mindanao,8000,35000,Middle
